4;"Growing Open Source Seeds";"kennethreitz";179
5;"Python for Humans";"kennethreitz";179
6;"Flasky Goodness";"kennethreitz";179
7;"Don't fear our new robot overlords!";"plaetzchen";165
8;"The Sorry State of SSL";"Hynek (hynek)";183
9;"How we switched our 800+ projects from Apache to uWSGI";"Max Tepkeev (ma=
xtepkeev)";66
10;"Writing websockets games with uWSGI and Gevent: Episode II";"Roberto De=
 Ioris (unbit)";65
11;"Why deploying web-applications is so hard... and why it is not";"Robert=
o De Ioris (unbit)";65
12;"[WITHDRAWN] APIs are awesome";"Hallett (phalt)";206
13;"For lack of a better name(server): DNS Explained";"Lynn Root (roguelynn=
)";212
14;"Unicode in Python, Completely Demystified";"Yash Shah (yashness)";227
15;"Introduction to Sphinx";"juh";180
16;"Making programs that understand programs with AST";"Diego Sarmentero (d=
iegosarmentero)";208
17;"How Pony ORM translates Python generators to SQL queries";"Alexey Malas=
hkevich (malashkevich)";229
18;"Brain Waves for Hackers";"Andreas Klostermann (andreas_klostermann)";225
19;"Python Requests";"Sakshi Bansal (sakshi)";233
20;"The ideal REST API for the AngularJS applications";"Victor Farazdagi (f=
arazdagi)";41
21;"Learn more from Twitter accounts using Python";"Benny Tops (benny-itdig=
in)";200
22;"Migrating Python 2.7 C/C++ extensions to 3.3";"Gerson Kurz (gerson.kurz=
)";239
23;"The Cython Compiler for Python";"Stefan Behnel (stefan)";240
24;"Efficient XML processing with lxml";"Stefan Behnel (stefan)";240
25;"Lessons learned from building Elasticsearch client";"Honza Kr=C3=A1l (h=
onzakral)";152
26;"Adding search to your application";"Honza Kr=C3=A1l (honzakral)";152
27;"Memoize";"Radomir Dopieralski (thesheep)";249
28;"Non Sequitur: An exploration of Python's random module";"Jair Trejo (ja=
irtrejo)";59
29;"Statistics 101 for System Administrators";"Roberto Polli (roberto.polli=
)";248
30;"Red Hat Loves Python";"Slavek Kabrda (slavek)";134
31;"Systems Integration: The OpenStack success story";"Flavio Percoco (flap=
er87)";54
32;"Eve - REST APIs for Humans=E2=84=A2";"Nicola Iarocci (nicolaiarocci)";1= 23
33;"Large scale QA: How to submit your first OpenStack patch";"Joe H. Rahme=
 (rahmu)";243
34;"Using Django to serve 20 million users";"Victor Pantoja (victor.pantoja=
)";260
35;"VPython goes to School";"Mauri (maurizio.boscaini)";259
36;"First Steps with the Raspberry Pi";"Mark (markfink)";265
37;"Agile Test Automation at Scale";"Mark (markfink)";265
38;"Performance Testing Web 2.0 Applications in the Cloud";"Mark (markfink)=
";265
39;"Architecting Large Django Projects";"Apostolos (mpessas)";267
